,nb,nb2,value
0,bernie,bloomberg,1.165131155004988443232511215
1,bernie,economy,1.703996748408074786614279908
2,bernie,climate,1.306772966012182946768335914
3,bernie,immigration,0.6797859368649234521067606015
4,bloomberg,economy,2.254029443011079071179238124
5,bloomberg,climate,0.6234906073228844190155112890
6,bloomberg,immigration,0.5711223250872666565487934436
7,economy,climate,1.417122683142100617828773169
8,economy,immigration,0.5528925619834710743801652893
9,climate,immigration,5.535635481023830538393645190
